item_id,item_name,price
P_FOAM_K,Standard Twin Mat,478
M_PREM_K,Standard King Mat,173
M_STAN_K,Standard Full Mat,278
M_STAN_F,Standard Twin Mat,568
M_STAN_K,Standard Twin Mat,690
M_STAN_F,Standard Twin Mat,738
M_STAN_K,Standard Full Mat,682
M_PREM_T,Standard King Mat,789
M_PREM_T,Premium Twin Matt,940
P_FOAM_K,Standard King Mat,746
M_STAN_Q,Premium Full Matt,771
M_STAN_K,Standard King Mat,829
P_DOWN_S,Premium Queen Mat,527
M_STAN_T,Premium Full Matt,843
M_PREM_F,Premium Full Matt,807
M_PREM_K,Standard Full Mat,472
M_STAN_T,Standard Full Mat,114
P_DOWN_S,Standard King Mat,723
P_DOWN_S,Premium Queen Mat,932
M_STAN_Q,Premium Full Matt,451
P_DOWN_K,Premium Full Matt,981
P_DOWN_K,Standard Twin Mat,808
M_STAN_T,Premium Queen Mat,603
M_PREM_K,Premium Queen Mat,472
P_DOWN_K,Standard King Mat,781
M_PREM_F,Standard King Mat,82
M_STAN_F,Standard Full Mat,184
M_PREM_Q,Standard Twin Mat,711
M_STAN_Q,Standard King Mat,869
M_PREM_T,Standard Full Mat,127
M_PREM_F,Standard Twin Mat,297
M_STAN_Q,Standard Twin Mat,60
P_DOWN_S,Standard King Mat,196
M_STAN_K,Premium Twin Matt,964
M_PREM_F,Premium Twin Matt,53
M_STAN_K,Premium Queen Mat,502
M_STAN_Q,Standard Twin Mat,61
M_PREM_Q,Premium Queen Mat,504
P_FOAM_S,Standard Twin Mat,910
M_PREM_T,Premium Queen Mat,241
M_PREM_K,Premium Twin Matt,678
M_STAN_T,Standard Full Mat,253
P_DOWN_S,Standard Queen Mat,571
P_FOAM_S,Standard King Mat,389
M_PREM_T,Standard Twin Mat,236
M_STAN_T,Standard Twin Mat,437
M_PREM_F,Standard King Mat,809
P_DOWN_K,Premium Twin Matt,259
P_DOWN_K,Standard Twin Mat,263
P_FOAM_S,Standard Twin Mat,542
P_DOWN_K,Premium Queen Mat,275
M_PREM_K,Standard Queen Mat,353
M_PREM_T,Premium Full Matt,229
M_STAN_T,Premium Full Matt,619
M_PREM_T,Premium Queen Mat,879
M_STAN_T,Standard Queen Mat,777
P_DOWN_S,Premium Full Matt,977
M_PREM_Q,Premium Twin Matt,677
M_PREM_K,Standard Full Mat,249
M_STAN_F,Standard Full Mat,771
M_PREM_F,Premium Queen Mat,418
P_DOWN_S,Standard King Mat,435
P_DOWN_S,Standard King Mat,163
M_PREM_K,Premium Queen Mat,216
M_STAN_Q,Standard King Mat,195
M_PREM_K,Standard Twin Mat,773
M_STAN_F,Premium Queen Mat,402
P_DOWN_S,Standard Twin Mat,159
M_STAN_T,Standard Twin Mat,700
P_DOWN_K,Standard Twin Mat,700
M_PREM_K,Standard Twin Mat,109
M_STAN_F,Standard Full Mat,900
M_PREM_Q,Standard King Mat,319
M_PREM_T,Premium Queen Mat,853
M_STAN_K,Standard Full Mat,261
P_DOWN_S,Premium Full Matt,407
M_PREM_Q,Standard Queen Mat,72
M_PREM_T,Standard Queen Mat,655
P_FOAM_K,Premium Queen Mat,234
M_PREM_T,Premium Queen Mat,567
M_STAN_K,Standard Full Mat,6
M_PREM_K,Standard King Mat,154
M_PREM_T,Standard King Mat,697
P_DOWN_K,Standard Twin Mat,3
M_STAN_K,Standard Twin Mat,383
M_STAN_Q,Standard Twin Mat,938
M_STAN_T,Standard Full Mat,277
M_STAN_Q,Standard Twin Mat,600
P_FOAM_K,Standard Queen Mat,622
M_STAN_T,Premium Queen Mat,857
P_DOWN_S,Standard Full Mat,40
M_STAN_T,Standard King Mat,756
M_PREM_Q,Standard King Mat,882
M_PREM_F,Premium Full Matt,29
M_STAN_F,Premium Full Matt,467
M_PREM_T,Standard Queen Mat,219
M_PREM_K,Premium Queen Mat,593
M_PREM_Q,Premium Queen Mat,811
M_PREM_T,Standard King Mat,507
P_FOAM_S,Standard Twin Mat,255
